model_name,query_id,latency_seconds,input_tokens,output_tokens,reasoning_tokens,inference_speed_tps,cost_dollars
kimi-k2.6,astma_bij_volwassenen_0004_0002,7.8597,1260,900,0,114.51,0.00367
kimi-k2.6,astma_bij_volwassenen_0002_0002,3.9397,943,401,0,101.79,0.00228
kimi-k2.6,diabetes_0009_0054,5.6592,883,531,0,93.83,0.00240
kimi-k2.6,diabetes_0007_0013,7.7478,410,908,0,117.19,0.00224
kimi-k2.6,diabetes_0007_0009,8.9501,317,1081,0,120.78,0.00238
kimi-k2.6,dementie_0003_0002,34.6228,368,779,0,22.5,0.00195
kimi-k2.6,dementie_0002_0013,31.9446,561,721,0,22.57,0.00218
kimi-k2.6,dementie_0002_0009,8.6608,361,1050,0,121.24,0.00240
kimi-k2.6,depressie_0005_0001,8.6144,512,1013,0,117.59,0.00259
kimi-k2.6,depressie_0007_0002,3.9985,381,429,0,107.29,0.00138
kimi-k2.6,depressie_0001_0005,49.5395,510,1306,0,26.36,0.00309
kimi-k2.6,COPD_0003_0002,76.6151,2076,1938,0,25.3,0.00682
kimi-k2.6,COPD_0006_0001,53.0926,289,1310,0,24.67,0.00272
kimi-k2.6,COPD_0007_0002,69.5801,1194,3029,0,43.53,0.00718
kimi-k2.6,angst_0006_0015,7.2146,631,820,0,113.66,0.00247
kimi-k2.6,angst_0007_0034,6.5475,249,760,0,116.07,0.00172
kimi-k2.6,angst_0008_0001,7.8013,1776,784,0,100.5,0.00435
kimi-k2.6,chronische nierschade_0004_0001,5.8561,1086,574,0,98.02,0.00282
kimi-k2.6,chronische nierschade_0008_0009,29.117,267,895,0,30.74,0.00198
kimi-k2.6,chronische nierschade_0010_0021,9.6598,539,1001,0,103.63,0.00262
kimi-k2.6,influenza_0008_0001,8.6494,445,883,0,102.09,0.00226
kimi-k2.6,influenza_0009_0007,35.2871,347,1087,0,30.8,0.00244
kimi-k2.6,influenza_0009_0011,7.5239,553,867,0,115.23,0.00241
kimi-k2.6,hartfalen_0007_0012,5.0925,2527,497,0,97.59,0.00514
kimi-k2.6,hartfalen_0001_0001,11.6668,394,887,0,76.03,0.00218
kimi-k2.6,hartfalen_0006_0004,21.2545,329,2338,0,110.0,0.00453
kimi-k2.6,hand-en-polsklachten_0023_0003,54.3151,595,1527,0,28.11,0.00361
kimi-k2.6,hand-en-polsklachten_0020_0001,19.1794,428,610,0,31.8,0.00176
kimi-k2.6,hand-en-polsklachten_0012_0001,55.2847,772,2504,0,45.29,0.00557
deepseek-v4-pro,astma_bij_volwassenen_0014_0003,12.2391,1783,334,257,27.29,0.00522
deepseek-v4-pro,astma_bij_volwassenen_0004_0002,42.9294,1230,1247,1121,29.05,0.00792
deepseek-v4-pro,astma_bij_volwassenen_0002_0002,8.8721,955,224,154,25.25,0.00293
deepseek-v4-pro,diabetes_0009_0054,28.4518,878,789,697,27.73,0.00520
deepseek-v4-pro,diabetes_0007_0013,15.4966,425,471,432,30.39,0.00292
deepseek-v4-pro,diabetes_0007_0009,32.7704,364,1040,939,31.74,0.00515
deepseek-v4-pro,dementie_0003_0002,18.0297,396,472,404,26.18,0.00280
deepseek-v4-pro,dementie_0002_0013,23.6274,568,707,613,29.92,0.00415
deepseek-v4-pro,dementie_0002_0009,20.0176,406,634,549,31.67,0.00350
deepseek-v4-pro,depressie_0005_0001,57.3593,526,1654,1558,28.84,0.00822
deepseek-v4-pro,depressie_0007_0002,25.0331,416,749,662,29.92,0.00402
deepseek-v4-pro,depressie_0001_0005,30.5019,528,942,774,30.88,0.00494
deepseek-v4-pro,COPD_0003_0002,19.0074,2000,517,459,27.2,0.00655
deepseek-v4-pro,COPD_0006_0001,29.2528,337,819,696,28.0,0.00407
deepseek-v4-pro,COPD_0007_0002,52.5276,1137,1540,1225,29.32,0.00858
deepseek-v4-pro,angst_0006_0015,19.1438,616,585,504,30.56,0.00375
deepseek-v4-pro,angst_0007_0034,41.6185,301,1142,1000,27.44,0.00537
deepseek-v4-pro,angst_0008_0001,16.354,1642,493,425,30.15,0.00563
deepseek-v4-pro,chronische nierschade_0004_0001,33.5055,1022,929,813,27.73,0.00608
deepseek-v4-pro,chronische nierschade_0008_0009,44.1792,313,1241,1180,28.09,0.00601
deepseek-v4-pro,chronische nierschade_0010_0021,38.8586,553,1111,927,28.59,0.00570
deepseek-v4-pro,influenza_0008_0001,21.8554,464,608,531,27.82,0.00353
deepseek-v4-pro,influenza_0009_0007,151.5626,385,4922,4476,32.48,0.02152
deepseek-v4-pro,influenza_0009_0011,33.6567,559,967,890,28.73,0.00532
deepseek-v4-pro,hartfalen_0007_0012,12.111,2507,317,230,26.17,0.00672
deepseek-v4-pro,hartfalen_0001_0001,27.6725,410,862,787,31.15,0.00453
deepseek-v4-pro,hartfalen_0006_0004,12.1185,366,320,207,26.41,0.00196
deepseek-v4-pro,hand-en-polsklachten_0023_0003,26.4564,585,729,638,27.55,0.00429
deepseek-v4-pro,hand-en-polsklachten_0020_0001,15.5307,468,468,358,30.13,0.00285
deepseek-v4-pro,hand-en-polsklachten_0012_0001,484.0212,774,5408,5250,11.17,0.02515
glm-5.1,astma_bij_volwassenen_0014_0003,25.7761,1757,764,0,29.64,0.00529
glm-5.1,astma_bij_volwassenen_0004_0002,19.2771,1185,916,0,47.52,0.00441
glm-5.1,astma_bij_volwassenen_0002_0002,7.6204,880,414,0,54.33,0.00272
glm-5.1,diabetes_0009_0054,15.3291,829,749,0,48.86,0.00331
glm-5.1,diabetes_0007_0013,18.6051,361,975,0,52.41,0.00281
glm-5.1,diabetes_0007_0009,25.05,300,766,0,30.58,0.00224
glm-5.1,dementie_0003_0002,15.8907,314,734,0,46.19,0.00220
glm-5.1,dementie_0002_0013,12.6987,507,695,0,54.73,0.00252
glm-5.1,dementie_0002_0009,22.8045,336,874,0,38.33,0.00254
glm-5.1,depressie_0005_0001,15.9073,461,962,0,60.48,0.00299
glm-5.1,depressie_0007_0002,26.4446,344,824,0,31.16,0.00245
glm-5.1,depressie_0001_0005,15.1665,466,683,0,45.03,0.00241
glm-5.1,COPD_0003_0002,22.6416,1947,1011,0,44.65,0.00621
glm-5.1,COPD_0006_0001,22.0236,271,651,0,29.56,0.00194
glm-5.1,COPD_0007_0002,45.1816,1101,1885,0,41.72,0.00627
glm-5.1,angst_0006_0015,15.9537,546,682,0,42.75,0.00258
glm-5.1,angst_0007_0034,17.9013,229,684,0,38.21,0.00192
glm-5.1,angst_0008_0001,13.8925,1621,753,0,54.2,0.00499
glm-5.1,chronische nierschade_0004_0001,15.0371,1011,680,0,45.22,0.00355
glm-5.1,chronische nierschade_0008_0009,19.0224,249,812,0,42.69,0.00223
glm-5.1,chronische nierschade_0010_0021,29.6659,486,796,0,26.83,0.00269
glm-5.1,influenza_0008_0001,11.7976,397,726,0,61.54,0.00236
glm-5.1,influenza_0009_0007,22.7164,320,840,0,36.98,0.00244
glm-5.1,influenza_0009_0011,72.5018,496,1008,0,13.9,0.00316
glm-5.1,hartfalen_0007_0012,14.1894,2474,806,0,56.8,0.00689
glm-5.1,hartfalen_0001_0001,18.9633,352,699,0,36.86,0.00221
glm-5.1,hartfalen_0006_0004,31.1937,293,533,0,17.09,0.00173
glm-5.1,hand-en-polsklachten_0023_0003,22.6369,521,807,0,35.65,0.00279
glm-5.1,hand-en-polsklachten_0020_0001,29.8153,408,978,0,32.8,0.00291
glm-5.1,hand-en-polsklachten_0012_0001,27.3111,718,1372,0,50.24,0.00439
