model_name,query_id,latency_seconds,input_tokens,output_tokens,reasoning_tokens,inference_speed_tps,cost_dollars
gpt-5.5,diabetes_0009_0014,6.058,6851,249,176,41.1,0.04172
gpt-5.5,dementie_0010_0001,7.2198,1131,292,225,40.44,0.01442
gpt-5.5,angst_0004_0001,8.9826,1314,265,174,29.5,0.01452
gpt-5.5,influenza_0005_0001,18.9461,1007,601,449,31.72,0.02307
gpt-5.5,hand-en-polsklachten_0002_0001,18.2944,1614,666,516,36.4,0.02805
gpt-5.5,influenza_0006_0001,11.5485,748,455,321,39.4,0.01739
gpt-5.5,COPD_0006_0003,25.6111,1888,799,516,31.2,0.03341
gpt-5.5,hand-en-polsklachten_0017_0001,14.9911,925,632,516,42.16,0.02359
gpt-5.5,COPD_0010_0003,15.7389,4655,609,428,38.69,0.04154
gpt-5.5,hand-en-polsklachten_0001_0001,10.4561,1721,324,214,30.99,0.01833
gpt-5.5,dementie_0001_0001,26.1215,2401,832,516,31.85,0.03696
gpt-5.5,COPD_0010_0001,2.8615,1265,94,68,32.85,0.00915
gpt-5.5,influenza_0004_0001,22.3463,1386,735,516,32.89,0.02898
gpt-5.5,dementie_0003_0002,9.383,587,336,285,35.81,0.01302
gpt-5.5,diabetes_0009_0001,18.8003,1306,697,516,37.07,0.02744
gpt-5.5,angst_0002_0002,38.577,958,1380,1034,35.77,0.04619
gpt-5.5,influenza_0010_0001,11.2705,811,475,322,42.15,0.01831
gpt-5.5,diabetes_0011_0001,4.8756,3304,186,148,38.15,0.0221
gpt-5.5,astma_bij_volwassenen_0014_0002,7.5351,1613,295,227,39.15,0.01691
gpt-5.5,hand-en-polsklachten_0010_0003,16.9198,1018,756,516,44.68,0.02777
gpt-5.5,dementie_0005_0001,8.423,2502,301,197,35.74,0.02154
gpt-5.5,COPD_0012_0001,17.9386,845,796,516,44.37,0.0281
gpt-5.5,angst_0005_0001,39.7342,1756,1648,1034,41.48,0.05822
gpt-5.5,angst_0003_0001,20.0033,1072,573,293,28.65,0.02255
gpt-5.5,influenza_0003_0001,16.5682,1348,646,516,38.99,0.02612
gpt-5.5,diabetes_0009_0011,88.6822,1038,3807,3624,42.93,0.1194
gpt-5.5,astma_bij_volwassenen_0008_0001,5.1252,1099,196,108,38.24,0.01137
gpt-5.5,diabetes_0006_0002,16.4217,1269,657,516,40.01,0.02605
gpt-5.5,influenza_0002_0001,2.9749,95,108,85,36.3,0.00371
gpt-5.5,depressie_0003_0001,9.5172,1403,311,172,32.68,0.01634
gpt-5.5,COPD_0007_0003,18.4472,1262,675,505,36.59,0.02656
gpt-5.5,hand-en-polsklachten_0014_0001,6.9343,874,298,214,42.97,0.01331
gpt-5.5,chronische nierschade_0008_0002,13.265,9441,554,463,41.76,0.06382
gpt-5.5,diabetes_0009_0002,5.3924,2262,239,181,44.32,0.01848
gpt-5.5,influenza_0001_0001,6.4669,565,219,139,33.86,0.0094
gpt-5.5,chronische nierschade_0004_0001,8.6485,2661,302,185,34.92,0.02237
gpt-5.5,COPD_0006_0004,13.7371,1954,497,350,36.18,0.02468
gpt-5.5,depressie_0009_0003,17.0341,991,627,516,36.81,0.02377
gpt-5.5,hand-en-polsklachten_0012_0001,49.4653,628,1678,1494,33.92,0.05348
gpt-5.5,hand-en-polsklachten_0010_0004,13.789,1036,513,343,37.2,0.02057
gpt-5.5,COPD_0012_0002,10.5754,816,433,336,40.94,0.01707
gpt-5.5,diabetes_0010_0001,16.1867,1300,592,455,36.57,0.02426
gpt-5.5,depressie_0009_0004,10.8716,2011,421,316,38.72,0.02269
gpt-5.5,astma_bij_volwassenen_0011_0002,18.8646,3571,637,516,33.77,0.03696
gpt-5.5,diabetes_0009_0009,8.9128,4599,507,369,56.88,0.03821
gpt-5.5,hand-en-polsklachten_0013_0001,15.2302,832,487,286,31.98,0.01877
gpt-5.5,hartfalen_0005_0001,22.7529,9015,729,516,32.04,0.06695
gpt-5.5,COPD_0007_0004,12.1855,602,449,225,36.85,0.01648
gpt-5.5,astma_bij_volwassenen_0008_0005,14.911,715,568,427,38.09,0.02062
gpt-5.5,depressie_0009_0002,10.7701,1407,368,269,34.17,0.01808
gpt-5.5,chronische nierschade_0010_0002,34.7187,1747,1295,1034,37.3,0.04759
gpt-5.5,diabetes_0009_0010,5.4582,3340,218,153,39.94,0.02324
gpt-5.5,chronische nierschade_0008_0001,14.3372,1225,486,386,33.9,0.02071
gpt-5.5,hartfalen_0007_0002,15.5269,1554,494,385,31.82,0.02259
gpt-5.5,COPD_0004_0001,5.9985,2767,234,145,39.01,0.02085
gpt-5.5,hand-en-polsklachten_0015_0001,12.7184,914,465,323,36.56,0.01852
gpt-5.5,hartfalen_0006_0001,6.784,1665,284,185,41.86,0.01684
gpt-5.5,astma_bij_volwassenen_0008_0002,14.7285,2220,654,516,44.4,0.03072
gpt-5.5,hand-en-polsklachten_0004_0001,9.466,1414,259,134,27.36,0.01484
gpt-5.5,chronische nierschade_0010_0001,16.0263,2317,707,516,44.11,0.03279
gpt-5.5,diabetes_0009_0017,9.2899,1461,348,229,37.46,0.01775
gpt-5.5,depressie_0008_0001,20.1479,1551,728,516,36.13,0.02959
gpt-5.5,COPD_0006_0002,8.408,2217,335,234,39.84,0.02114
gpt-5.5,astma_bij_volwassenen_0011_0003,14.8671,3035,595,448,40.02,0.03302
gpt-5.5,depressie_0009_0001,11.9233,1120,388,258,32.54,0.01724
gpt-5.5,hartfalen_0007_0006,10.681,1157,456,265,42.69,0.01946
gpt-5.5,hand-en-polsklachten_0001_0002,11.6405,1011,498,288,42.78,0.01999
gpt-5.5,diabetes_0013_0001,14.8214,1578,665,486,44.87,0.02784
gpt-5.5,astma_bij_volwassenen_0006_0002,20.3895,1206,667,420,32.71,0.02604
gpt-5.5,COPD_0003_0001,20.9742,1076,658,516,31.37,0.02512
gpt-5.5,depressie_0009_0005,24.0329,1065,729,516,30.33,0.0272
gpt-5.5,hand-en-polsklachten_0016_0001,5.9644,1482,192,107,32.19,0.01317
gpt-5.5,chronische nierschade_0005_0001,15.3238,1366,666,516,43.46,0.02681
gpt-5.5,hartfalen_0011_0001,13.5694,1055,433,292,31.91,0.01826
gpt-5.5,astma_bij_volwassenen_0012_0001,13.5022,856,592,516,43.84,0.02204
gpt-5.5,COPD_0011_0001,17.853,2656,700,516,39.21,0.03428
gpt-5.5,depressie_0009_0006,13.1703,2600,435,250,33.03,0.02605
gpt-5.5,chronische nierschade_0010_0003,15.6509,2748,658,516,42.04,0.03348
gpt-5.5,hartfalen_0007_0004,16.2644,1346,783,516,48.14,0.03022
gpt-5.5,diabetes_0009_0005,9.9693,1994,405,293,40.62,0.02212
gpt-5.5,COPD_0008_0001,8.637,1701,356,243,41.22,0.01919
gpt-5.5,chronische nierschade_0013_0001,83.3888,1024,2367,2070,28.39,0.07613
gpt-5.5,depressie_0007_0001,8.1237,2046,330,232,40.62,0.02013
gpt-5.5,astma_bij_volwassenen_0008_0003,20.2023,2465,767,516,37.97,0.03533
gpt-5.5,hartfalen_0011_0002,10.8484,1445,380,256,35.03,0.01862
gpt-5.5,diabetes_0003_0001,69.483,1464,2871,2588,41.32,0.09345
gpt-5.5,hand-en-polsklachten_0010_0002,9.7393,1066,303,197,31.11,0.01442
gpt-5.5,chronische nierschade_0014_0001,26.5417,2298,1238,1034,46.64,0.04863
gpt-5.5,diabetes_0009_0015,20.0477,1993,740,516,36.91,0.03216
gpt-5.5,COPD_0007_0005,13.9606,1654,680,516,48.71,0.02867
gpt-5.5,depressie_0008_0002,24.6242,1281,701,516,28.47,0.02744
gpt-5.5,chronische nierschade_0011_0001,18.7776,2536,712,497,37.92,0.03404
gpt-5.5,hartfalen_0007_0001,17.8877,891,635,463,35.5,0.02351
gpt-5.5,angst_0008_0007,18.2498,1059,442,245,24.22,0.01855
gpt-5.5,dementie_0011_0001,19.6997,1236,714,447,36.24,0.0276
gpt-5.5,astma_bij_volwassenen_0012_0002,56.8892,1488,2274,2070,39.97,0.07566
gpt-5.5,hand-en-polsklachten_0010_0005,35.026,815,1222,1034,34.89,0.04074
gpt-5.5,chronische nierschade_0001_0001,6.1884,2309,223,129,36.04,0.01824
gpt-5.5,depressie_0010_0001,15.569,2040,757,516,48.62,0.03291
gpt-5.5,astma_bij_volwassenen_0011_0001,17.3458,1291,669,516,38.57,0.02652
gpt-5.5,hartfalen_0008_0002,8.29,8657,312,246,37.64,0.05264
gpt-5.5,angst_0009_0001,4.8757,1105,187,142,38.35,0.01114
gpt-5.5,dementie_0002_0003,12.695,904,527,384,41.51,0.02033
gpt-5.5,hand-en-polsklachten_0003_0001,17.674,897,555,361,31.4,0.02114
gpt-5.5,astma_bij_volwassenen_0003_0001,17.7859,1908,695,516,39.08,0.03039
gpt-5.5,depressie_0007_0002,18.7147,1888,536,294,28.64,0.02552
gpt-5.5,hartfalen_0003_0001,12.6308,1158,421,332,33.33,0.01842
gpt-5.5,dementie_0011_0003,7.1092,1510,216,161,30.38,0.01403
gpt-5.5,hand-en-polsklachten_0008_0003,11.7281,2923,539,343,45.96,0.03078
gpt-5.5,chronische nierschade_0007_0001,21.4119,6242,823,516,38.44,0.0559
gpt-5.5,astma_bij_volwassenen_0003_0002,4.3586,2033,200,144,45.89,0.01616
gpt-5.5,angst_0008_0004,10.8886,2061,378,310,34.72,0.02164
gpt-5.5,depressie_0008_0003,11.5984,1720,450,268,38.8,0.0221
gpt-5.5,hartfalen_0007_0003,12.1013,1123,464,325,38.34,0.01954
gpt-5.5,angst_0008_0005,17.2494,198,577,425,33.45,0.0183
gpt-5.5,depressie_0009_0007,14.8215,1478,688,516,46.42,0.02803
gpt-5.5,dementie_0002_0006,23.138,538,754,516,32.59,0.02531
gpt-5.5,chronische nierschade_0006_0001,29.6902,1662,1377,1034,46.38,0.04962
gpt-5.5,astma_bij_volwassenen_0006_0001,9.0884,1707,290,170,31.91,0.01724
gpt-5.5,hartfalen_0008_0001,9.119,1258,339,253,37.18,0.01646
gpt-5.5,dementie_0004_0001,19.0509,1197,531,417,27.87,0.02192
gpt-5.5,angst_0008_0001,12.5172,2183,440,285,35.15,0.02411
gpt-5.5,chronische nierschade_0003_0001,10.916,1501,470,331,43.06,0.0216
gpt-5.5,hand-en-polsklachten_0012_0002,213.759,29,7872,7768,36.83,0.23631
gpt-5.5,chronische nierschade_0008_0003,47.6331,2025,2801,2578,58.8,0.09415
gpt-5.5,astma_bij_volwassenen_0013_0001,40.7186,1999,1558,995,38.26,0.05673
gpt-5.5,dementie_0012_0001,16.4535,1058,606,437,36.83,0.02347
gpt-5.5,hartfalen_0007_0005,20.8962,4621,770,516,36.85,0.0462
gpt-5.5,angst_0006_0002,18.3867,2118,535,398,29.1,0.02664
gpt-5.5,astma_bij_volwassenen_0014_0003,16.0157,1298,660,516,41.21,0.02629
gpt-5.5,depressie_0005_0001,20.5735,2044,701,516,34.07,0.03125
gpt-5.5,chronische nierschade_0012_0001,22.3194,1362,685,516,30.69,0.02736
gpt-5.5,dementie_0002_0005,10.2915,1857,334,281,32.45,0.0193
gpt-5.5,hartfalen_0010_0001,14.8318,1053,587,465,39.58,0.02287
gpt-5.5,depressie_0002_0001,5.8365,1315,201,143,34.44,0.0126
gpt-5.5,astma_bij_volwassenen_0001_0001,7.854,1758,295,229,37.56,0.01764
gpt-5.5,chronische nierschade_0004_0002,6.5423,830,213,151,32.56,0.01054
gpt-5.5,dementie_0002_0002,4.5278,1788,146,105,32.25,0.01332
gpt-5.5,depressie_0006_0001,67.1938,905,2790,2588,41.52,0.08822
gpt-5.5,angst_0006_0003,6.486,2496,197,146,30.37,0.01839
gpt-5.5,angst_0008_0006,23.6055,761,661,516,28.0,0.02363
gpt-5.5,chronische nierschade_0002_0001,5.9979,93,199,160,33.18,0.00643
gpt-5.5,hartfalen_0004_0001,18.8196,1116,645,516,34.27,0.02493
gpt-5.5,depressie_0003_0002,22.4142,2236,699,516,31.19,0.03215
gpt-5.5,dementie_0002_0004,11.2359,1257,351,213,31.24,0.01682
gpt-5.5,hartfalen_0013_0001,16.1938,610,603,505,37.24,0.02114
gpt-5.5,astma_bij_volwassenen_0008_0004,9.6441,589,414,311,42.93,0.01537
gpt-5.5,angst_0006_0001,26.2584,2215,825,516,31.42,0.03583
gpt-5.5,chronische nierschade_0015_0001,14.7591,11695,714,516,48.38,0.07989
gpt-5.5,depressie_0001_0001,21.3364,2158,729,516,34.17,0.03266
gpt-5.5,hartfalen_0009_0001,16.9882,878,647,516,38.09,0.0238
gpt-5.5,depressie_0004_0001,5.3794,37,184,146,34.2,0.00571
gpt-5.5,angst_0002_0001,16.2839,1227,522,286,32.06,0.0218
gpt-5.5,hartfalen_0008_0003,18.2372,9445,632,516,34.65,0.06619
gpt-5.5,dementie_0012_0002,10.7944,1194,463,374,42.89,0.01986
gpt-5.5,dementie_0011_0002,18.049,2312,1810,1552,100.28,0.06586
gpt-5.5,chronische nierschade_0009_0001,18.049,752,2740,2588,151.81,0.08596
gpt-5.5,COPD_0004_0002,6.9063,3249,197,103,28.52,0.02216
gpt-5.5,influenza_0009_0001,7.8898,1265,243,136,30.8,0.01361
gpt-5.5,astma_bij_volwassenen_0014_0001,18.049,636,685,516,37.95,0.02373
gpt-5.5,angst_0007_0001,18.049,744,776,516,42.99,0.027
gpt-5.5,hartfalen_0005_0002,10.9544,1092,285,204,26.02,0.01401
gpt-5.5,astma_bij_volwassenen_0008_0006,18.049,102,2116,2070,117.24,0.06399
gpt-5.5,diabetes_0009_0006,91.5703,2530,3225,3106,35.22,0.1094
gpt-5.4,dementie_0003_0001,3.9369,1459,216,151,54.86,0.00689
gpt-5.4,diabetes_0009_0012,9.7927,2137,609,516,62.19,0.01448
gpt-5.4,chronische nierschade_0010_0003,10.667,2748,819,516,76.78,0.01916
gpt-5.4,hartfalen_0007_0004,11.2811,1346,898,516,79.6,0.01683
gpt-5.4,diabetes_0009_0013,9.2019,431,641,516,69.66,0.01069
gpt-5.4,COPD_0008_0001,8.9295,1701,602,489,67.42,0.01328
gpt-5.4,COPD_0003_0002,32.2347,4666,1635,1552,50.72,0.03619
gpt-5.4,chronische nierschade_0014_0001,10.7352,2298,677,516,63.06,0.0159
gpt-5.4,hand-en-polsklachten_0010_0002,6.3206,1066,365,281,57.75,0.00814
gpt-5.4,hartfalen_0011_0002,9.7635,1445,685,516,70.16,0.01389
gpt-5.4,COPD_0011_0001,43.0468,2656,2841,2588,66.0,0.04926
gpt-5.4,dementie_0002_0001,24.8438,1362,1363,1034,54.86,0.02385
gpt-5.4,hand-en-polsklachten_0012_0002,42.4459,29,2258,2070,53.2,0.03394
gpt-5.4,dementie_0002_0007,10.4596,1266,566,335,54.11,0.01165
gpt-5.4,COPD_0007_0005,17.7056,1654,1198,1034,67.66,0.0221
gpt-5.4,hartfalen_0007_0001,6.8094,891,357,174,52.43,0.00758
gpt-5.4,COPD_0010_0002,38.0593,1600,2285,2070,60.04,0.03828
gpt-5.4,diabetes_0009_0016,30.7111,1463,2077,1953,67.63,0.03481
gpt-5.4,diabetes_0009_0007,52.0144,1663,3617,3437,69.54,0.05841
gpt-5.4,angst_0008_0007,11.8017,1059,727,516,61.6,0.01355
gpt-5.4,chronische nierschade_0011_0001,44.1866,2536,2890,2581,65.4,0.04969
gpt-5.4,dementie_0007_0001,9.5309,559,527,353,55.29,0.0093
gpt-5.4,chronische nierschade_0001_0001,7.3996,2309,439,313,59.33,0.01236
gpt-5.4,hartfalen_0008_0002,6.8009,8657,427,284,62.79,0.02805
gpt-5.4,hand-en-polsklachten_0010_0005,43.9894,815,2777,2588,63.13,0.04369
gpt-5.4,hand-en-polsklachten_0003_0001,8.272,897,463,252,55.97,0.00919
gpt-5.4,angst_0009_0001,4.8883,1105,175,140,35.8,0.00539
gpt-5.4,depressie_0002_0001,5.1946,1315,309,244,59.48,0.00792
gpt-5.4,dementie_0006_0001,9.4792,1496,630,516,66.46,0.01319
gpt-5.4,diabetes_0009_0008,10.8915,959,564,516,51.78,0.01086
gpt-5.4,hartfalen_0003_0001,8.5666,1158,523,403,61.05,0.01074
gpt-5.4,diabetes_0009_0014,6.0654,6851,352,281,58.03,0.02241
gpt-5.4,hand-en-polsklachten_0008_0003,10.8823,2923,642,516,59.0,0.01694
gpt-5.4,angst_0008_0004,9.5064,2061,632,497,66.48,0.01463
gpt-5.4,dementie_0010_0001,8.3629,1131,578,516,69.11,0.0115
gpt-5.4,hartfalen_0007_0003,10.0328,1123,688,516,68.58,0.01313
gpt-5.4,angst_0008_0005,8.2611,198,649,516,78.56,0.01023
gpt-5.4,chronische nierschade_0007_0001,47.5675,6242,3166,2772,66.56,0.06309
gpt-5.4,chronische nierschade_0006_0001,38.9494,1662,1918,1595,49.24,0.03293
gpt-5.4,depressie_0003_0002,49.166,2236,2823,2588,57.42,0.04793
gpt-5.4,hartfalen_0008_0001,7.5398,1258,536,403,71.09,0.01119
gpt-5.4,diabetes_0009_0011,51.7967,1038,3810,3624,73.56,0.05974
gpt-5.4,dementie_0001_0001,35.9495,2401,2385,2070,66.34,0.04178
gpt-5.4,depressie_0001_0001,24.2278,2158,1329,1034,54.85,0.02533
gpt-5.4,dementie_0003_0002,9.6207,587,560,503,58.21,0.00987
gpt-5.4,chronische nierschade_0008_0003,26.639,2025,2012,1834,75.53,0.03524
gpt-5.4,angst_0008_0001,17.0511,2183,1218,1034,71.43,0.02373
gpt-5.4,chronische nierschade_0003_0001,9.3814,1501,536,378,57.13,0.01179
gpt-5.4,hartfalen_0007_0005,13.1016,4621,795,516,60.68,0.02348
gpt-5.4,diabetes_0011_0001,8.669,3304,224,153,25.84,0.01162
gpt-5.4,astma_bij_volwassenen_0014_0002,3.228,1613,205,159,63.51,0.00711
gpt-5.4,angst_0006_0002,12.3938,2118,782,516,63.1,0.01703
gpt-5.4,dementie_0005_0001,6.9896,2502,363,275,51.93,0.0117
gpt-5.4,chronische nierschade_0012_0001,11.6335,1362,731,516,62.84,0.01437
gpt-5.4,hartfalen_0010_0001,8.1549,1053,550,365,67.44,0.01088
gpt-5.4,astma_bij_volwassenen_0008_0001,7.8145,1099,476,367,60.91,0.00989
gpt-5.4,angst_0008_0006,9.4347,761,678,516,71.86,0.01207
gpt-5.4,chronische nierschade_0004_0002,6.5415,830,421,336,64.36,0.00839
gpt-5.4,diabetes_0006_0002,24.0909,1269,1716,1552,71.23,0.02891
gpt-5.4,depressie_0003_0001,12.4744,1403,643,516,51.55,0.01315
gpt-5.4,diabetes_0009_0001,63.1684,1306,4340,4099,68.71,0.06837
gpt-5.4,hartfalen_0004_0001,8.8107,1116,443,278,50.28,0.00943
gpt-5.4,angst_0006_0003,5.7369,2496,252,199,43.93,0.01002
gpt-5.4,diabetes_0009_0002,9.805,2262,247,200,25.19,0.00936
gpt-5.4,chronische nierschade_0002_0001,3.2087,93,143,114,44.57,0.00238
gpt-5.4,COPD_0007_0002,66.4474,3879,4277,4011,64.37,0.07385
gpt-5.4,depressie_0009_0003,9.8459,991,618,512,62.77,0.01175
gpt-5.4,hartfalen_0013_0001,7.4594,610,516,405,69.17,0.00927
gpt-5.4,astma_bij_volwassenen_0011_0002,7.6825,3571,523,395,68.08,0.01677
gpt-5.4,diabetes_0010_0001,9.8047,1300,634,516,64.66,0.01276
gpt-5.4,diabetes_0009_0009,9.6084,4599,657,516,68.38,0.02135
gpt-5.4,hartfalen_0009_0001,13.5079,878,724,516,53.6,0.01306
gpt-5.4,angst_0006_0001,29.7876,2215,2020,1552,67.81,0.03584
gpt-5.4,angst_0002_0001,11.4225,1227,680,516,59.53,0.01327
gpt-5.4,depressie_0009_0002,8.7291,1407,540,451,61.86,0.01162
gpt-5.4,depressie_0009_0004,40.0075,2011,2597,2497,64.91,0.04398
gpt-5.4,chronische nierschade_0015_0001,43.1234,11695,2905,2588,67.36,0.07281
gpt-5.4,astma_bij_volwassenen_0008_0005,28.202,715,1691,1552,59.96,0.02715
gpt-5.4,diabetes_0009_0010,5.7247,3340,263,202,45.94,0.0123
gpt-5.4,hartfalen_0008_0003,12.7842,9445,675,516,52.8,0.03374
gpt-5.4,astma_bij_volwassenen_0008_0002,7.8266,2220,557,470,71.17,0.01391
gpt-5.4,angst_0007_0001,9.5159,744,697,437,73.25,0.01232
gpt-5.4,hartfalen_0005_0002,5.782,1092,359,280,62.09,0.00812
gpt-5.4,influenza_0009_0001,13.4921,1265,570,436,42.25,0.01171
gpt-5.4,diabetes_0009_0017,5.4231,1461,294,178,54.21,0.00806
gpt-5.4,depressie_0008_0001,18.2167,1551,1309,1029,71.86,0.02351
gpt-5.4,angst_0008_0002,8.9035,1497,566,488,63.57,0.01223
gpt-5.4,depressie_0009_0001,9.5537,1120,631,516,66.05,0.01226
gpt-5.4,astma_bij_volwassenen_0011_0003,10.2397,3035,632,516,61.72,0.01707
gpt-5.4,chronische nierschade_0009_0001,52.0919,752,3249,3106,62.37,0.05062
gpt-5.4,influenza_0008_0001,9.7933,2062,617,516,63.0,0.01441
gpt-5.4,hartfalen_0007_0007,9.5274,1217,583,475,61.19,0.01179
gpt-5.4,diabetes_0013_0001,12.7796,1578,736,516,57.59,0.01498
gpt-5.4,angst_0008_0008,7.3141,2413,470,394,64.26,0.01308
gpt-5.4,depressie_0009_0005,13.9915,1065,777,516,55.53,0.01432
gpt-5.4,influenza_0007_0001,10.9916,1060,626,516,56.95,0.01204
gpt-5.4,hand-en-polsklachten_0008_0001,11.7799,827,702,516,59.59,0.0126
gpt-5.4,angst_0010_0001,9.7238,446,664,516,68.29,0.01107
gpt-5.4,astma_bij_volwassenen_0006_0002,28.9041,1206,1500,1132,51.9,0.02551
gpt-5.4,COPD_0004_0002,10.8898,3249,634,516,58.22,0.01763
gpt-5.4,depressie_0009_0006,15.1913,2600,750,516,49.37,0.01775
gpt-5.4,astma_bij_volwassenen_0012_0001,26.5567,856,1707,1552,64.28,0.02774
gpt-5.4,COPD_0006_0001,59.066,1689,3949,3624,66.86,0.06346
gpt-5.4,hand-en-polsklachten_0008_0002,7.6149,2737,476,311,62.51,0.01398
gpt-5.4,diabetes_0009_0005,9.7729,1994,597,486,61.09,0.01394
gpt-5.4,depressie_0007_0001,4.4129,2046,243,159,55.07,0.00876
gpt-5.4,astma_bij_volwassenen_0008_0003,15.3042,2465,942,516,61.55,0.02029
gpt-5.4,influenza_0009_0002,25.0813,2316,1253,1034,49.96,0.02458
gpt-5.4,influenza_0011_0001,3.1812,258,196,148,61.61,0.00358
gpt-5.4,angst_0008_0003,9.7793,599,668,516,68.31,0.01152
gpt-5.4,depressie_0009_0007,34.934,1478,2330,2070,66.7,0.03864
gpt-5.4,hand-en-polsklachten_0010_0001,11.9643,1261,712,516,59.51,0.01383
gpt-5.4,COPD_0010_0003,27.0007,4655,1717,1552,63.59,0.03739
gpt-5.4,depressie_0008_0003,9.674,1720,691,457,71.43,0.01466
gpt-5.4,depressie_0004_0001,2.8995,37,145,113,50.01,0.00227
gpt-5.4,diabetes_0003_0001,81.7469,1464,4877,4567,59.66,0.07681
gpt-5.4,depressie_0008_0002,11.177,1281,693,516,62.0,0.0136
gpt-5.4,influenza_0005_0001,10.9634,1007,705,516,64.3,0.01309
gpt-5.4,hand-en-polsklachten_0002_0001,11.3767,1614,687,512,60.39,0.01434
gpt-5.4,angst_0009_0002,19.9567,1906,1333,1226,66.79,0.02476
gpt-5.4,angst_0004_0001,9.0782,1314,646,516,71.16,0.01298
gpt-5.4,astma_bij_volwassenen_0011_0001,11.2679,1291,721,516,63.99,0.01404
gpt-5.4,depressie_0010_0001,11.2361,2040,743,516,66.13,0.01625
gpt-5.4,dementie_0011_0001,26.7799,1236,1826,1552,68.19,0.03048
gpt-5.4,diabetes_0009_0015,68.7259,1993,4567,4314,66.45,0.07349
gpt-5.4,hand-en-polsklachten_0017_0001,10.1469,925,663,516,65.34,0.01226
gpt-5.4,influenza_0006_0001,15.7661,748,481,345,30.51,0.00908
gpt-5.4,dementie_0002_0003,9.1105,904,600,516,65.86,0.01126
gpt-5.4,astma_bij_volwassenen_0003_0001,11.0327,1908,746,516,67.62,0.01596
gpt-5.4,COPD_0007_0001,11.6805,1258,670,516,57.36,0.0132
gpt-5.4,influenza_0004_0001,12.7333,1386,802,516,62.98,0.0155
gpt-5.4,hand-en-polsklachten_0001_0001,7.6487,1721,409,294,53.47,0.01044
gpt-5.4,astma_bij_volwassenen_0012_0002,108.0408,1488,6843,6564,63.34,0.10637
gpt-5.4,dementie_0011_0003,5.2892,1510,329,267,62.2,0.00871
gpt-5.4,astma_bij_volwassenen_0003_0002,2.8891,2033,176,117,60.92,0.00772
gpt-5.4,COPD_0010_0001,2.8568,1265,132,70,46.21,0.00514
gpt-5.4,depressie_0007_0002,48.4756,1888,3090,2727,63.74,0.05107
gpt-5.4,angst_0002_0002,55.8839,958,3470,3106,62.09,0.05445
gpt-5.4,COPD_0006_0003,81.8728,1888,4986,4648,60.9,0.07951
gpt-5.4,dementie_0002_0006,13.1456,538,791,516,60.17,0.01321
gpt-5.4,influenza_0010_0001,28.3346,811,1839,1552,64.9,0.02961
gpt-5.4,angst_0003_0001,13.5341,1072,901,516,66.57,0.0162
gpt-5.4,astma_bij_volwassenen_0006_0001,10.2509,1707,491,322,47.9,0.01163
gpt-5.4,depressie_0006_0001,54.7315,905,4024,3750,73.52,0.06262
gpt-5.4,influenza_0003_0001,10.0392,1348,651,516,64.85,0.01313
gpt-5.4,hand-en-polsklachten_0010_0003,49.4335,1018,3786,3575,76.59,0.05933
